;id;name;image;start_time;end_time;key;reaction_time
0;3;cat;images/cat.png;4.0640785;4.8321249;y;0.7680464
1;3;chicken;images/chicken.png;5.8406747;6.7230393;y;0.8823646
2;3;keyboard;images/keyboard.png;7.7313804;8.2324543;y;0.5010739
3;3;clock;images/duck.png;9.2404713;10.1897319;n;0.9492606
4;3;cat;images/dog.png;11.1981826;11.6575465;n;0.4593639
5;3;sheep;images/sheep.png;12.6657262;13.3918282;y;0.726102
6;3;goat;images/goat.png;14.4007116;14.9101815;y;0.5094699
7;3;clock;images/clock.png;15.9191625;16.3629913;y;0.4438288
8;3;motorcycle;images/gun.png;17.3709211;17.9662424;n;0.5953213
9;3;cricket;images/cricket.png;18.9748727;19.4594266;y;0.4845539
10;3;train;images/rooster.png;20.467572;21.0741179;n;0.6065459
11;3;bell;images/baby.png;22.0833427;22.852015;y;0.7686723
12;3;hammer;images/hammer.png;23.8604118;24.2721475;y;0.4117357
13;3;sheep;images/owl.png;25.2800644;25.922262;n;0.6421976
14;3;frog;images/cow.png;26.9303791;27.4201183;n;0.4897392
15;3;snake;images/snake.png;28.4284805;28.8618578;y;0.4333773
16;3;duck;images/duck.png;29.8708479;30.4923409;y;0.621493
17;3;gun;images/frog.png;31.5010259;32.303205;n;0.8021791
18;3;hammer;images/cricket.png;33.3108943;34.073204;n;0.7623097
19;3;keyboard;images/clock.png;35.0816047;35.5040526;n;0.4224479
20;3;car;images/car.png;36.5130372;36.9901884;y;0.4771512
21;3;rooster;images/rooster.png;37.9994737;38.5338206;y;0.5343469
22;3;owl;images/bell.png;39.5419779;40.0063032;n;0.4643253
23;3;car;images/cat.png;41.0146809;41.8925842;n;0.8779033
24;3;owl;images/owl.png;42.9007667;43.5780957;y;0.677329
25;3;bell;images/bell.png;44.5865124;45.0397241;y;0.4532117
26;3;rooster;images/motorcycle.png;46.0495706;46.7317997;n;0.6822291
27;3;dog;images/dog.png;47.7400457;48.3284792;y;0.5884335
28;3;cow;images/cow.png;49.3389214;49.8955911;n;0.5566697
29;3;gun;images/gun.png;50.9032983;51.8960921;y;0.9927938
30;3;duck;images/hammer.png;52.9040799;53.3567911;n;0.4527112
31;3;bird;images/bird.png;54.3649252;54.933909;y;0.5689838
32;3;frog;images/frog.png;55.9418453;56.7623003;n;0.820455
33;3;train;images/train.png;57.7712584;58.4020924;y;0.630834
34;3;scissors;images/scissors.png;59.4103676;60.2990542;y;0.8886866
35;3;baby;images/scissors.png;61.3072351;61.7755572;n;0.4683221
36;3;goat;images/sheep.png;62.78342;63.3169237;y;0.5335037
37;3;whistle;images/whistle.png;64.3251286;64.8055182;y;0.4803896
38;3;chicken;images/snake.png;65.8134518;66.616321;n;0.8028692
39;3;whistle;images/train.png;67.6256002;67.9021472;n;0.276547
40;3;bird;images/car.png;68.9097304;69.1690603;n;0.2593299
41;3;scissors;images/whistle.png;70.1765735;70.6150086;n;0.4384351
42;3;motorcycle;images/motorcycle.png;71.6223444;72.1805608;y;0.5582164
43;3;cricket;images/chicken.png;73.1890777;73.7305104;n;0.5414327
44;3;snake;images/goat.png;74.7375115;75.0288247;n;0.2913132
45;3;cow;images/bird.png;76.0374441;76.5903964;n;0.5529523
46;3;baby;images/baby.png;77.598099;78.0620911;y;0.4639921
47;3;dog;images/keyboard.png;79.0691741;79.498173;n;0.4289989
